Common name,Scientific name
Almaciga,Agathis philippinensis
Almon,Shorea almon
Alupag,Litchi chinensis ssp. philippinensis
Amugis,Koordersiodendron pinnatum
Anang,Diospyros pyrrhocarpa
Antipolo,Artocarpus blancoi
Apitong,Dipterocarpus grandiflorus
Apunan,Diospyros cauliflora
Ata-ata,Diospyros mindanaensis
Bagauak-morado,Clerodendrum quadriloculare
Bagoadlau ,Xanthostemon philippinensis
Bagtikan,Parashorea malaanonan
Baguilumbang,Reutealis trisperma
Balakat-gubat,Balakata luzonica (Sapium luzonicum)
Banuyo,Wallaceodendron celebicum
Basilan Apitong,Dipterocarpus eurynchus
Basilan-yakal,Hopea basilanica
Batete,Kingiodendron alternifolium
Batikuling,Litsea leytensis
Betis,Madhuca betis
Bolong-eta,Diospyros pilosanthera var. pilosanthera
Broad-winged apitong,Dipterocarpus kunstleri
Dalingdingan,Hopea foxworthyi
Dao,Dracontomelon dao
Duguan,Myristica philippensis 
Ebony,Diospyros ferrea
Gisok-gisok,Hopea philippinensis
Guijo,Shorea guiso
Hagakhak,Dipterocarpus validus
Hairy-leaf Apitong,Dipterocarpus alatus
Hasselt's Panau,Dipterocarpus hasselltii
Igem-dagat,Podocarpus costalis
Ipil,Intsia bijuga
Itom-itom,Diospyros longiciliata
Kaladis Narig,Vatica elliptica
Kalantas,Toona calantas
Kalingag,Cinnamomum mercadoi
Kalunti,Shorea hopeifolia
Kamagong,Diospyros blancoi
Kamagong ponce,Diospyros poncei forma poncei
Kamatog,Sympetalandra densiflora
Kanining-peneras,Aglaia pyriformis
Katmon,Dillenia philippinensis
Katmon bayani,Dillenia megalantha
Lamio,Dracontomelon edule
Magabuyo,Celtis luzonica
Makaasim,Syzygium nitidum
Malabayabas,Tristaniopsis decorticata
Malagaitmon,Diospyros curranii
Malak-malak,Palaquium philippense
Malakatmon,Dillenia luzonienses
Malapanau,Dipterocarpus kerrii
Malasaging,Aglaia edulis
Malayakal,Shorea seminis
Malinoag,Diospyros brideliifolia
Manggachapui,Hopea acuminata
Manggis,Koompassia excelsa
Mangkono,Xanthostemon verdugonianus
Mapilig ,Xanthostemon bracteatus
Mayapis,Shorea palosapis
Mindanao Narek,Hopea brachyptera
Mindanao Narig,Vatica mindanensis
Mindanao Palosapis,Anisoptera costata
Molave,Vitex parviflora
Narek,Hopea cagayanensis
Narig,Vatica mangachapoi ssp. mangachapoi
Narig-laot,Vatica maritima
Narra,Pterocarpus indicus
Nato/Red Nato,Palaquium luzoniense
O-oi,Diospyros philippinensis
Pahutan,Mangifera altissima
Palawan Mangkono,Xanthostemon speciosus
Palawan Narig,Vatica mangachapoi Blanco ssp. obtusifolia
Philippine Teak,Tectona philippinensis
Pianga,Ganua obovatifolia
Pili,Canarium ovatum
Piling-liitan,Canarium luzonicum
Pinulog,Palaquium mindanaense
Quisumbing-gisok,Hopea quisumbingiana
Red Lauan,Shorea negrosensis
Samar-gisok,Hopea samarensis
Sierra Madre Mangkono,Xanthostemon fruticosus
Supa,Sindora supa
Taba,Tristaniopsis littoralis
Tangile,Shorea polysperma
Thick-leaf Narig,Vatica pachyphylla
Tiaong,Shorea ovata
Tindalo,Afzelia rhomboidea
Villamil Nato,Pouteria villamillii
White Lauan,Shorea contorta
Yakal,Shorea astylosa
Yakal-kaliot,Hopea malibato
Yakal-magasusu,Hopea mindanensis
Yakal-malibato,Shorea malibato
Yakal-saplungan,Hopea plagata
Yakal-yamban,Shorea falciferoides ssp. falciferoides
